title,category,slug,code_rome,salaire_median_annuel,salaire_median_horaire,niveau_education,nombre_demandeurs,nombre_offres,tension_pct,tension_desc,description,url
Elagueur / Elagueuse,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,elagueur-elagueuse,A1209,25080,15.61,Bac (Baccalauréat),1320,6160,5,Très favorable,"L'Élagueur, spécialiste de la taille et de l'entretien des arbres, prend soin de l'environnement et de la sécurité du public.\nTaille les arbres et arbustes selon les besoins esthétiques ou sécuritair",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1209
Ouvrier forestier / Ouvrière forestière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ouvrier-forestier-ouvriere-forestiere,A1210,25080,15.61,Bac (Baccalauréat),360,1500,5,Très favorable,"L'ouvrier forestier, entretient la forêt et participe ainsi à la préservation de notre environnement.\nParticipe à la plantation, à l'entretien et à la coupe des arbres et d'autres végétaux dans le re",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1210
Chef / Cheffe d'équipe paysagiste,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,chef-cheffe-d-equipe-paysagiste,A1211,24504,15.25,Bac+2 (BTS/DUT),1460,13580,2,Défavorable,Le chef d'équipe paysagiste coordonne les équipes sur les chantiers d'entretien et d'aménagement d'espaces verts afin d'assurer la réussite des projets paysagers.\nOrganise les postes de travail et ré,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1211
Chef / Cheffe d'équipe de travaux forestiers,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,chef-cheffe-d-equipe-de-travaux-forestiers,A1212,25080,15.61,Bac+2 (BTS/DUT),30,240,5,Très favorable,"Le Chef d'équipe de travaux forestiers, un rôle clé pour la qualité de la gestion des travaux forestiers et la préservation des espaces forestiers.\nSupervise et coordonne les activités de l'équipe su",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1212
Conducteur / Conductrice de travaux forestiers,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,conducteur-conductrice-de-travaux-forestiers,A1213,25080,15.61,Bac+5 (Master/Ingénieur),30,470,5,Très favorable,"Le conducteur de travaux forestiers orchestre la gestion des travaux forestiers, en alliant expertise technique et respect de l'environnement pour préserver et valoriser le patrimoine naturel.\nManage",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1213
Patrouilleur modeleur / Patrouilleuse modeleuse VTT,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,patrouilleur-modeleur-patrouilleuse-modeleuse-vtt,A1214,,,Sans diplôme,10,10,2,Défavorable,"Le Patrouilleur modeleur VTT, un acteur clé pour l'aménagement, la sécurité et l'entretien des pistes de VTT en montagne.\nParticipe à la conception et à la mise en place de nouveaux parcours ou améli",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1214
Technicien / Technicienne de culture maraîchère,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-de-culture-maraichere,A1301,35928,22.36,Bac+5 (Master/Ingénieur),520,3560,4,Favorable,"Conseille et assiste techniquement les professionnels de l'agriculture, de l'aquaculture, de la sylviculture ou de l'élevage selon les orientations institutionnelles (préservation du patrimoine nature",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1301
Technicien / Technicienne agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-agricole,A1302,35928,22.36,Bac+2 (BTS/DUT),940,6920,4,Favorable,"Réalise les opérations de contrôle ou de diagnostic (surveillance, prélèvements, relevés de mesures) sur les lieux de production (élevages, abattoirs, ...) et de stockage (chambre froide, silo, ...) s",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1302
Ingénieur / Ingénieure d'études et de recherche agricoles,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ingenieur-ingenieure-d-etudes-et-de-recherche-agricoles,A1303,47016,29.26,Bac+5 (Master/Ingénieur),3380,4970,3,Neutre,L'Ingénieur d'études et de recherche agricoles façonne l'avenir de l'agriculture par des innovations et des recherches avancées.\nConçoit et développe des projets de recherche pour améliorer les prati,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1303
Conseiller / Conseillère technique agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,conseiller-conseillere-technique-agricole,A1304,41472,25.81,Bac+3 (Licence),940,4640,4,Favorable,Le Conseiller technique agricole accompagne les agriculteurs dans la gestion de leur activité et l'optimisation de leur production. \nAnalyse l'activité et les résultats des agriculteurs accompagnés\n,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1304
Technicien / Technicienne des services vétérinaires,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-des-services-veterinaires,A1305,,,Bac+2 (BTS/DUT),10,320,4,Favorable,"Le technicien des services vétérinaires, spécialisé dans le contrôle sanitaire et la protection des animaux, contribue à garantir la santé publique tout au long de la chaîne alimentaire.\nEffectue des",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1305
Chargé / Chargée de mission biodiversité,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,charge-chargee-de-mission-biodiversite,A1306,,,Bac+5 (Master/Ingénieur),1220,310,3,Neutre,Le chargé de mission biodiversité étudie et protège les écosystèmes afin de préserver et valoriser la biodiversité.\nÉvalue et surveille l'état des habitats naturels de la faune et la flore associée\n,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1306
Ingénieur forestier / Ingénieure forestière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ingenieur-forestier-ingenieure-forestiere,A1307,,,Bac+5 (Master/Ingénieur),120,440,3,Neutre,"L'Ingénieur forestier gère les projets d'aménagement et d'exploitation durables de la forêt.\nÉlabore et met en œuvre des plans de coupe et de reboisement\nSupervise les opérations de reforestation, d",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1307
Technicien / Technicienne de l'insémination animale,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-de-l-insemination-animale,A1308,,,Bac+3 (Licence),50,220,4,Favorable,Le Technicien de l'insémination animale réalise l'insémination artificielle sur différents animaux pour améliorer les performances génétiques des élevages.\nConseille les éleveurs sur les meilleures p,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1308
Technicien / Technicienne d'élevage équin,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-d-elevage-equin,A1309,,,Bac+3 (Licence),20,40,4,Favorable,"Le Technicien d'élevage équin, professionnel passionné par le monde équestre, supervise et coordonne toutes les activités d'un élevage de chevaux.\nAssure le suivi sanitaire et alimentaire des équidés",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1309
Technicien / Technicienne de production animale,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-technicienne-de-production-animale,A1310,,,Bac+3 (Licence),190,2150,4,Favorable,Le Technicien de production animale assiste les éleveurs et maintient et améliore la qualité de la production animale.\nSupervise et optimise les processus de production animale pour garantir la quali,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1310
Technicien forestier / Technicienne forestière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,technicien-forestier-technicienne-forestiere,A1311,,,Bac+3 (Licence),420,860,4,Favorable,"Le technicien forestier, spécialisé dans la gestion, l'entretien et la conservation des forêts, met en œuvre des programmes de gestion forestière durable.\nGère et surveille la forêt en lien avec les ",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1311
Directeur / Directrice environnement,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,directeur-directrice-environnement,A1312,,,Bac+5 (Master/Ingénieur),210,950,3,Neutre,Le Directeur environnement élabore la stratégie environnementale en conformité avec la règlementation et les objectifs de production et de rentabilité de la structure.\nRéalise des études d'impact et ,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1312
Chargé / Chargée de mission environnement,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,charge-chargee-de-mission-environnement,A1313,,,Bac+5 (Master/Ingénieur),2040,3790,4,Favorable,Le chargé de mission environnement met en œuvre des politiques et des programmes de protection de l'environnement au sein des structures afin d'atténuer les impacts environnementaux des activités.\nÉv,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1313
Cueilleur / Cueilleuse de fruits,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,cueilleur-cueilleuse-de-fruits,A1401,23196,14.43,Sans diplôme,4950,32410,2,Défavorable,"Le Cueilleur de fruits exerce un métier au cœur de la nature, il est un acteur essentiel des exploitations fruitières.\nRécolte différents types de fruits selon la saison \nAssure la sélection des fru",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1401
Aide agricole en production végétale,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aide-agricole-en-production-vegetale,A1402,22620,14.08,CAP/BEP,9430,4680,2,Défavorable,L'Aide agricole en production végétale apporte une aide aux cultivateurs dans la gestion de l'exploitation.\nParticipe à la préparation des sols et à la plantation de diverses cultures\nAssure l'entre,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1402
Aide d'élevage agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aide-d-elevage-agricole,A1403,23940,14.90,CAP/BEP,2230,6020,2,Défavorable,"Apporte une aide à l'éleveur dans les activités quotidiennes auprès des animaux (distribution de nourriture, aide à la traite, ramassage des œufs, …)\nParticipe aux soins et veille au bien-être des an",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1403
Aquaculteur / Aquacultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aquaculteur-aquacultrice,A1404,27384,17.04,Bac+3 (Licence),480,980,4,Favorable,"L'Aquaculteur / Aquacultrice, est un spécialiste de la production animale en milieu aquatique.\nÉlève et soigne des poissons, crustacés et coquillages selon les normes environnementales et sanitaires\",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1404
Arboriculteur / Arboricultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,arboriculteur-arboricultrice,A1405,23196,14.43,Bac+2 (BTS/DUT),350,210,2,Défavorable,"L'Arboriculteur cultive divers types d'arbres fruitiers et ornementaux selon les saisons et les conditions climatiques.\nEffectue la taille, l'élagage et le traitement des arbres pour garantir leur sa",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1405
Capitaine de pêche,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,capitaine-de-peche,A1406,59640,37.11,,110,70,4,Favorable,"Le Capitaine de pêche dirige et contrôle la navigation en mer et les opérations de pêche selon les objectifs d'exploitation, les règles de sécurité et la règlementation maritime sur l'environnement et",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1406
Eleveur / Eleveuse de bovins,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,eleveur-eleveuse-de-bovins,A1407,23940,14.90,Bac+2 (BTS/DUT),450,560,3,Neutre,"L'éleveur ou éleveuse de bovins, assure les soins nécessaires à la conduite de l'élevage en fonction des objectifs de production et dans le respect du bien-être animal.\nGère et surveille la santé et ",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1407
Eleveur / Eleveuse d'animaux sauvages,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,eleveur-eleveuse-d-animaux-sauvages,A1408,23940,14.90,Bac+3 (Licence),230,460,2,Défavorable,L'Éleveur d'animaux sauvages élève et soigne des animaux dans un environnement contrôlé ou semi-naturel en fonction des objectifs de production et dans le respect du bien-être animal.\nSurveille la cr,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1408
Aviculteur / Avicultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,aviculteur-avicultrice,A1409,23940,14.90,Bac (Baccalauréat),540,3470,3,Neutre,"L'Aviculteur / Avicultrice produit des volailles pour la consommation de viande, la production d'œufs ou d'autres produits dérivés.\nÉlève et soigne les volailles dans le respect du bien-être et de la",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1409
Eleveur / Eleveuse d'ovins,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,eleveur-eleveuse-d-ovins,A1410,23940,14.90,Bac+2 (BTS/DUT),1990,1220,2,Défavorable,"L'Éleveur / Éleveuse d'ovins, veille au bien-être, à la santé et à la reproduction de son troupeau.\nÉlève et soigne les ovins pour la production de laine, de viande et de lait\nGère les pâturages pou",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1410
Eleveur / Eleveuse de porcins,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,eleveur-eleveuse-de-porcins,A1411,23940,14.90,Bac+2 (BTS/DUT),300,2760,3,Neutre,"L'Éleveur de porcins, contribue à la pérennité de son élevage tout en étant garant de la qualité des produits et du bien-être animal.\nGère et surveille la santé et le bien-être des porcs au sein de l",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1411
Fromager-affineur / Fromagère-affineuse,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,fromager-affineur-fromagere-affineuse,A1412,28560,17.77,Bac (Baccalauréat),600,2990,4,Favorable,"Le fromager, artisan du goût, valorise  le patrimoine fromager et les méthodes de production artisanales.\nRéalise la fabrication et l'affinage de fromages dans le respect des règles d'hygiène et de s",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1412
Brasseur / Brasseuse de bière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,brasseur-brasseuse-de-biere,A1413,28560,17.77,Bac+5 (Master/Ingénieur),560,490,4,Favorable,"Le Brasseur de bière, artisan de la saveur et de la tradition, conçoit et produit des bières selon des recettes et des procédés spécifiques.\nContrôle la qualité des matières premières et des produits",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1413
Horticulteur / Horticultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,horticulteur-horticultrice,A1414,22620,14.08,Bac+2 (BTS/DUT),4990,5400,2,Défavorable,"L'horticulteur, spécialiste de la culture des fleurs, cultive une variété de plantes, en plein champs, sous tunnel ou sous serres en fonction de la région, du climat et des objectifs de production.\nC",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1414
Marin-pêcheur,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,marin-pecheur,A1415,27384,17.04,Bac (Baccalauréat),920,840,3,Neutre,"En contact permanent avec la nature, le marin-pêcheur est un professionnel polyvalent de la mer.\nEntretient le bateau et les équipements de pêche tels que les filets, les lignes et les casiers\nTrie ",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1415
Exploitant / Exploitante agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,exploitant-exploitante-agricole,A1416,29658,18.46,Bac+3 (Licence),5170,1480,2,Défavorable,"L'Exploitant agricole assure la gestion et le développement de son exploitation afin de produire et commercialiser des denrées alimentaires, des matières premières et des produits agricoles.\nCultive ",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1416
Saliculteur / Salicultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,saliculteur-salicultrice,A1417,27384,17.04,CAP/BEP,60,60,,,"Réalise les opérations de production et de récolte du sel selon les objectifs d'exploitation, les règles d'hygiène et de sécurité et les normes environnementales\nAssure l'entretien des sites salins e",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1417
Viticulteur / Viticultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,viticulteur-viticultrice,A1418,23196,14.43,CAP/BEP,15890,15230,2,Défavorable,"Participe à l'ensemble des travaux de culture et d'entretien de la vigne (taille, réparation, liage, travail du sol) et de récolte du raisin en fonction du cycle végétatif.\nPeut participer aux opérat",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1418
Ouvrier agricole polyvalent / Ouvrière agricole polyvalente,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ouvrier-agricole-polyvalent-ouvriere-agricole-polyvalente,A1419,29658,18.46,CAP/BEP,22890,17100,2,Défavorable,"Assure l'entretien des pâtures, prairies, cultures et des installations intérieures et extérieures de l'exploitation. \nTravaille à proximité des animaux et peut être amené à les manipuler dans le cad",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1419
Chef / Cheffe de culture responsable d'unité de production agricole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,chef-cheffe-de-culture-responsable-d-unite-de-production-agricole,A1420,23196,14.43,Bac+3 (Licence),540,1370,2,Défavorable,"Organise et supervise les travaux liés à la production de fruits et légumes en vue d’atteindre les objectifs quantitatifs et qualitatifs. \nPlanifie les opérations techniques (suivi des floraisons, en",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1420
Palefrenier soigneur / Palefrenière soigneuse,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,palefrenier-soigneur-palefreniere-soigneuse,A1421,23940,14.90,CAP/BEP,1740,1720,2,Défavorable,"Assure les soins quotidiens aux chevaux et maintient une vigilance sur leur état de santé.\nEntretient au quotidien les boxes, les paddocks et les pistes de travail.\nPeut également gérer le transport",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1421
Caviste de chai,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,caviste-de-chai,A1422,28560,17.77,Bac+2 (BTS/DUT),1770,4970,4,Favorable,"Le Caviste de chai participe à toutes les étapes de fabrication, de conservation et de conditionnement du vin, sous la responsabilité du maître de chai et en collaboration avec l'œnologue.\nPrépare le",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1422
Œnologue,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,nologue,A1423,28560,17.77,Bac+5 (Master/Ingénieur),430,140,4,Favorable,"L'œnologue, expert de la filière vinicole,  allie sa passion pour les sciences et son goût du vin pour élaborer des crus de qualité.\nAnalyse les caractéristiques chimiques et sensorielles des vins\nC",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1423
Pisciculteur / Piscicultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,pisciculteur-piscicultrice,A1424,27384,17.04,Bac+3 (Licence),100,60,4,Favorable,Le Pisciculteur (trice) participe à la gestion durable des ressources aquatiques en élevant des poissons d'eau de mer ou d'eau douce dans le respect de l'environnement et du bien-être des poissons.\nS,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1424
Ramendeur / Ramendeuse,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ramendeur-ramendeuse,A1425,27384,17.04,CAP/BEP,10,20,3,Neutre,"Le Ramendeur, un artisan essentiel de la préservation des filets de pêche.\nEntretient et répare les filets de pêche endommagés pour assurer leur fonctionnalité\nConseille les pêcheurs sur les meilleu",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1425
Educateur canin / Educatrice canine,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,educateur-canin-educatrice-canine,A1426,23940,14.90,,1810,150,2,Défavorable,"L'Éducateur canin, passionné par le comportement animal, guide les propriétaires de chiens dans l'éducation de leurs compagnons pour favoriser une relation harmonieuse.\nÉvalue le comportement des chi",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1426
Goémonier / Goémonière,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,goemonier-goemoniere,A1427,27384,17.04,Bac (Baccalauréat),,,3,Neutre,"Le Goémonier, autre exploitant des ressources marines, récolte les algues destinées à la transformation, dans le respect des règlementations environnementales afin de contribuer à la préservation de l",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1427
Algoculteur / Algocultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,algoculteur-algocultrice,A1428,27384,17.04,Bac (Baccalauréat),20,,4,Favorable,L'Algoculteur (trice) se définit comme le cultivateur (trice) de la mer.\nCultive et récolte des algues alimentaires en bassin ou en milieu marin selon les normes environnementales\nSélectionne les si,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1428
Apiculteur / Apicultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,apiculteur-apicultrice,A1429,23940,14.90,Bac (Baccalauréat),910,270,2,Défavorable,"Artisan de la nature, l'apiculteur élève des abeilles pour produire du miel, de la cire, de la gelée royale et d'autres produits apicoles.\nInspecte régulièrement les ruches pour s'assurer de la santé",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1429
Ouvrier / Ouvrière aquacole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ouvrier-ouvriere-aquacole,A1430,25662,15.97,CAP/BEP,590,2290,4,Favorable,"L'ouvrier aquacole est un ""bricoleur"" de la mer, amateur de poissons et coquillages.\nParticipe à la pêche ou la récolte des produits aquacoles\nAssure le tri, le conditionnement et, parfois, la comme",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1430
Ouvrier / Ouvrière piscicole,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,ouvrier-ouvriere-piscicole,A1431,25662,15.97,CAP/BEP,50,350,4,Favorable,L'ouvrier / ouvrière piscicole participe à l'élevage des poissons d'eau de mer ou d'eau douce dans le respect de l'environnement et du bien-être des poissons.\nSurveille et entretient les bassins et l,https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1431
Osiériculteur / Osiéricultrice,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,osiericulteur-osiericultrice,A1432,,,CAP/BEP,,,2,Défavorable,"L'Osiériculteur, un artisan de la nature qui cultive l'osier avec passion et selon les objectifs de commercialisation et d'utilisation du produit récolté.\nPrépare les sols de l'oseraie et sélectionne",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1432
Maraîcher / Maraîchère,agriculture-et-peche-espaces-naturels-et-espaces-verts-soins-aux-animaux,maraicher-maraichere,A1433,,,,17050,9820,2,Défavorable,"Le maraîcher est un agriculteur spécialisé dans la culture de légumes et plantes aromatiques destinés à l'alimentation.\nCultive des légumes variés selon les saisons, la région, et les objectifs de pr",https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1433
